language,cost_scheme,budget_fraction,strategy_a,strategy_b,paired_bugs,difference_percentage_points,ci_95_low,ci_95_high
Java,exponential,0.1,frequency_per_cost,frequency,619,0.0,0.0,0.0
Java,exponential,0.1,exact_cost_aware,frequency,619,-2.10016155088853,-3.5541195476575123,-0.6462035541195477
Java,exponential,0.1,exact_cost_aware,frequency_per_cost,619,-2.10016155088853,-3.5541195476575123,-0.6462035541195477
Java,exponential,0.1,frequency,cheap_first,619,11.631663974151857,8.0735056542811,15.347334410339256
Java,exponential,0.2,frequency_per_cost,frequency,619,-10.177705977382875,-14.539579967689823,-5.654281098546042
Java,exponential,0.2,exact_cost_aware,frequency,619,0.0,0.0,0.0
Java,exponential,0.2,exact_cost_aware,frequency_per_cost,619,10.177705977382875,5.654281098546042,14.539579967689823
Java,exponential,0.2,frequency,cheap_first,619,31.663974151857836,26.974959612277868,36.34894991922455
Java,exponential,0.3,frequency_per_cost,frequency,619,10.177705977382875,7.1082390953150245,13.247172859450727
Java,exponential,0.3,exact_cost_aware,frequency,619,10.662358642972535,7.592891760904685,13.731825525040387
Java,exponential,0.3,exact_cost_aware,frequency_per_cost,619,0.48465266558966075,-0.48465266558966075,1.4539579967689822
Java,exponential,0.3,frequency,cheap_first,619,26.494345718901453,21.32471728594507,31.179321486268176
Java,exponential,0.4,frequency_per_cost,frequency,619,-0.16155088852988692,-2.7463651050080773,2.4232633279483036
Java,exponential,0.4,exact_cost_aware,frequency,619,-0.16155088852988692,-2.7463651050080773,2.2617124394184165
Java,exponential,0.4,exact_cost_aware,frequency_per_cost,619,0.0,-1.1308562197092082,1.1308562197092082
Java,exponential,0.4,frequency,cheap_first,619,40.38772213247172,35.37964458804523,45.39579967689822
Java,exponential,0.5,frequency_per_cost,frequency,619,0.0,-2.7463651050080773,2.9079159935379644
Java,exponential,0.5,exact_cost_aware,frequency,619,0.8077544426494345,-2.2617124394184165,4.038772213247173
Java,exponential,0.5,exact_cost_aware,frequency_per_cost,619,0.8077544426494345,-0.9693053311793215,2.5848142164781907
Java,exponential,0.5,frequency,cheap_first,619,41.35702746365105,36.025848142164776,46.52665589660743
Java,linear,0.1,frequency_per_cost,frequency,619,4.20032310177706,0.16155088852988692,8.077544426494345
Java,linear,0.1,exact_cost_aware,frequency,619,2.10016155088853,-1.615508885298869,5.654281098546042
Java,linear,0.1,exact_cost_aware,frequency_per_cost,619,-2.10016155088853,-3.5541195476575123,-0.8077544426494345
Java,linear,0.1,frequency,cheap_first,619,7.592891760904685,3.5541195476575123,11.631663974151857
Java,linear,0.2,frequency_per_cost,frequency,619,0.0,0.0,0.0
Java,linear,0.2,exact_cost_aware,frequency,619,0.0,0.0,0.0
Java,linear,0.2,exact_cost_aware,frequency_per_cost,619,0.0,0.0,0.0
Java,linear,0.2,frequency,cheap_first,619,38.28756058158319,33.925686591276246,42.81098546042003
Java,linear,0.3,frequency_per_cost,frequency,619,2.10016155088853,-0.8077544426494345,5.008077544426494
Java,linear,0.3,exact_cost_aware,frequency,619,1.938610662358643,-0.9693053311793215,4.68497576736672
Java,linear,0.3,exact_cost_aware,frequency_per_cost,619,-0.16155088852988692,-1.615508885298869,1.2924071082390953
Java,linear,0.3,frequency,cheap_first,619,37.156704361873985,32.31017770597738,41.84168012924071
Java,linear,0.4,frequency_per_cost,frequency,619,0.9693053311793215,-1.1308562197092082,3.231017770597738
Java,linear,0.4,exact_cost_aware,frequency,619,0.48465266558966075,-1.4539579967689822,2.4232633279483036
Java,linear,0.4,exact_cost_aware,frequency_per_cost,619,-0.48465266558966075,-1.938610662358643,0.9693053311793215
Java,linear,0.4,frequency,cheap_first,619,43.134087237479804,38.28756058158319,47.980613893376415
Java,linear,0.5,frequency_per_cost,frequency,619,-0.48465266558966075,-2.7463651050080773,1.7770597738287561
Java,linear,0.5,exact_cost_aware,frequency,619,-1.1308562197092082,-3.715670436187399,1.4539579967689822
Java,linear,0.5,exact_cost_aware,frequency_per_cost,619,-0.6462035541195477,-2.10016155088853,0.8077544426494345
Java,linear,0.5,frequency,cheap_first,619,48.949919224555735,44.103392568659125,53.79644588045234
Java,steep,0.1,frequency_per_cost,frequency,619,7.431340872374798,3.715670436187399,11.308562197092083
Java,steep,0.1,exact_cost_aware,frequency,619,7.915993537964459,4.20032310177706,11.631663974151857
Java,steep,0.1,exact_cost_aware,frequency_per_cost,619,0.48465266558966075,-3.231017770597738,4.038772213247173
Java,steep,0.1,frequency,cheap_first,619,-1.4539579967689822,-4.846526655896607,2.10016155088853
Java,steep,0.2,frequency_per_cost,frequency,619,-10.823909531502423,-15.347334410339256,-6.30048465266559
Java,steep,0.2,exact_cost_aware,frequency,619,0.0,0.0,0.0
Java,steep,0.2,exact_cost_aware,frequency_per_cost,619,10.823909531502423,6.30048465266559,15.347334410339256
Java,steep,0.2,frequency,cheap_first,619,23.101777059773827,18.093699515347332,27.948303715670438
