language,fold,cost_scheme,budget_fraction,budget,strategy,selected_count,selected_cost,selected_operators
Java,1,exponential,0.5,39.0,exact_cost_aware,14.0,39.0,LOR;MRV;MCR;ROR;DOC;CI;SD;AIS;VR;MPM;DTR;SR;CFSM;VA
Java,1,exponential,0.5,39.0,random,17.467,38.999,Mean of 1000 random portfolios
Java,1,steep,0.1,10.4,frequency,1.0,10.0,CI
Java,1,steep,0.1,10.4,frequency_per_cost,8.0,10.0,LOR;ROR;MRV;DOC;SD;AIS;AOR;BR
Java,1,steep,0.1,10.4,cheap_first,10.0,10.0,LOR;ROR;DOC;SD;AIS;AOR;BR;BWO;SM;AA
Java,1,steep,0.1,10.4,exact_cost_aware,3.0,10.0,LOR;MRV;MCR
Java,1,steep,0.1,10.4,random,4.654,10.0,Mean of 1000 random portfolios
Java,1,steep,0.2,20.8,frequency,4.0,20.0,CI;MCR;MRV;LOR
Java,1,steep,0.2,20.8,frequency_per_cost,9.0,20.0,LOR;ROR;MRV;MCR;DOC;SD;AIS;VR;DTR
Java,1,steep,0.2,20.8,cheap_first,16.0,20.0,LOR;ROR;DOC;SD;AIS;AOR;BR;BWO;SM;AA;CN;RAR;DIS;ElseI;MRV;VR
Java,1,steep,0.2,20.8,exact_cost_aware,4.0,20.0,LOR;MRV;MCR;CI
Java,1,steep,0.2,20.8,random,7.811,20.0,Mean of 1000 random portfolios
Java,1,steep,0.3,31.2,frequency,6.0,31.0,CI;MCR;MRV;LOR;VA;ROR
Java,1,steep,0.3,31.2,frequency_per_cost,11.0,31.0,LOR;ROR;MRV;MCR;DOC;CI;SD;AIS;VR;DTR;AOR
Java,1,steep,0.3,31.2,cheap_first,19.0,29.0,LOR;ROR;DOC;SD;AIS;AOR;BR;BWO;SM;AA;CN;RAR;DIS;ElseI;MRV;VR;DTR;SR;CFSM
Java,1,steep,0.3,31.2,exact_cost_aware,10.0,31.0,LOR;ROR;MRV;MCR;DOC;CI;SD;AIS;MPM;BR
Java,1,steep,0.3,31.2,random,11.304,31.0,Mean of 1000 random portfolios
Java,1,steep,0.4,41.6,frequency,11.0,41.0,CI;MCR;MRV;LOR;VA;ROR;MPM;DOC;SD;AIS;AOR
Java,1,steep,0.4,41.6,frequency_per_cost,14.0,41.0,LOR;ROR;MRV;MCR;DOC;CI;SD;AIS;VR;MPM;DTR;SR;AOR;BR
Java,1,steep,0.4,41.6,cheap_first,23.0,41.0,LOR;ROR;DOC;SD;AIS;AOR;BR;BWO;SM;AA;CN;RAR;DIS;ElseI;MRV;VR;DTR;SR;CFSM;SI;BCO;EII;EI
Java,1,steep,0.4,41.6,exact_cost_aware,14.0,41.0,LOR;ROR;MRV;MCR;DOC;CI;SD;AIS;MPM;DTR;SR;CFSM;AOR;BR
Java,1,steep,0.4,41.6,random,14.28,41.0,Mean of 1000 random portfolios
Java,1,steep,0.5,52.0,frequency,11.0,52.0,CI;MCR;MRV;LOR;VA;ROR;MPM;MOCS;DOC;SD;VR
Java,1,steep,0.5,52.0,frequency_per_cost,14.0,52.0,LOR;ROR;MRV;MCR;DOC;CI;SD;AIS;VR;MPM;DTR;VA;SR;CFSM
Java,1,steep,0.5,52.0,cheap_first,26.0,50.0,LOR;ROR;DOC;SD;AIS;AOR;BR;BWO;SM;AA;CN;RAR;DIS;ElseI;MRV;VR;DTR;SR;CFSM;SI;BCO;EII;EI;FLI;WLI;CASEI
Java,1,steep,0.5,52.0,exact_cost_aware,14.0,52.0,LOR;ROR;MRV;MCR;DOC;CI;SD;AIS;VR;MPM;DTR;VA;SR;CFSM
Java,1,steep,0.5,52.0,random,17.588,51.994,Mean of 1000 random portfolios
Java,2,linear,0.1,6.2,frequency,2.0,6.0,CI;MRV
Java,2,linear,0.1,6.2,frequency_per_cost,3.0,6.0,MCR;MRV;LOR
Java,2,linear,0.1,6.2,cheap_first,6.0,6.0,LOR;ROR;SD;DOC;AIS;AA
Java,2,linear,0.1,6.2,exact_cost_aware,3.0,6.0,MCR;MRV;ROR
Java,2,linear,0.1,6.2,random,3.653,6.0,Mean of 1000 random portfolios
Java,2,linear,0.2,12.4,frequency,6.0,12.0,CI;MCR;MRV;LOR;ROR;SD
Java,2,linear,0.2,12.4,frequency_per_cost,6.0,12.0,MCR;MRV;LOR;CI;ROR;SD
Java,2,linear,0.2,12.4,cheap_first,12.0,12.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN
Java,2,linear,0.2,12.4,exact_cost_aware,6.0,12.0,MCR;MRV;LOR;CI;ROR;SD
Java,2,linear,0.2,12.4,random,6.793,12.0,Mean of 1000 random portfolios
Java,2,linear,0.3,18.6,frequency,7.0,18.0,CI;MCR;MRV;VA;LOR;ROR;MPM
Java,2,linear,0.3,18.6,frequency_per_cost,9.0,18.0,MCR;MRV;LOR;CI;ROR;SD;DOC;AIS;VA
Java,2,linear,0.3,18.6,cheap_first,16.0,18.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI;MRV;DTR
Java,2,linear,0.3,18.6,exact_cost_aware,10.0,18.0,MCR;MRV;LOR;CI;ROR;SD;DOC;AIS;MPM;SM
Java,2,linear,0.3,18.6,random,9.907,18.0,Mean of 1000 random portfolios
Java,2,linear,0.4,24.8,frequency,10.0,24.0,CI;MCR;MRV;VA;LOR;ROR;MPM;MOCS;SD;DOC
Java,2,linear,0.4,24.8,frequency_per_cost,12.0,24.0,MCR;MRV;LOR;CI;ROR;SD;DOC;AIS;VA;MPM;DTR;AA
Java,2,linear,0.4,24.8,cheap_first,19.0,24.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI;MRV;DTR;VR;SR;EII
Java,2,linear,0.4,24.8,exact_cost_aware,12.0,24.0,MCR;MRV;LOR;CI;ROR;SD;DOC;AIS;VA;MPM;DTR;SM
Java,2,linear,0.4,24.8,random,13.098,24.0,Mean of 1000 random portfolios
Java,2,linear,0.5,31.0,frequency,14.0,31.0,CI;MCR;MRV;VA;LOR;ROR;MPM;MOCS;SD;DOC;MA;AIS;DTR;AA
Java,2,linear,0.5,31.0,frequency_per_cost,14.0,31.0,MCR;MRV;LOR;CI;ROR;SD;DOC;AIS;VA;MPM;DTR;VR;MOCS;SR
Java,2,linear,0.5,31.0,cheap_first,22.0,30.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI;MRV;DTR;VR;SR;EII;CFSM;EI;SI
Java,2,linear,0.5,31.0,exact_cost_aware,15.0,31.0,MCR;MRV;LOR;CI;ROR;SD;DOC;AIS;VA;MPM;DTR;VR;MA;SR;AA
Java,2,linear,0.5,31.0,random,16.862,31.0,Mean of 1000 random portfolios
Java,2,exponential,0.1,7.8,frequency,3.0,7.0,MCR;MRV;LOR
Java,2,exponential,0.1,7.8,frequency_per_cost,3.0,7.0,MRV;LOR;MCR
Java,2,exponential,0.1,7.8,cheap_first,7.0,7.0,LOR;ROR;SD;DOC;AIS;AA;SM
Java,2,exponential,0.1,7.8,exact_cost_aware,3.0,7.0,MRV;MCR;ROR
Java,2,exponential,0.1,7.8,random,4.325,7.0,Mean of 1000 random portfolios
Java,2,exponential,0.2,15.6,frequency,4.0,15.0,CI;MCR;MRV;LOR
Java,2,exponential,0.2,15.6,frequency_per_cost,8.0,15.0,MRV;LOR;MCR;ROR;SD;DOC;AIS;MPM
Java,2,exponential,0.2,15.6,cheap_first,14.0,14.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI
Java,2,exponential,0.2,15.6,exact_cost_aware,4.0,15.0,MRV;LOR;MCR;CI
Java,2,exponential,0.2,15.6,random,7.45,15.0,Mean of 1000 random portfolios
Java,2,exponential,0.3,23.4,frequency,5.0,23.0,CI;MCR;MRV;VA;LOR
Java,2,exponential,0.3,23.4,frequency_per_cost,9.0,23.0,MRV;LOR;MCR;ROR;SD;CI;DOC;AIS;MPM
Java,2,exponential,0.3,23.4,cheap_first,18.0,22.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI;MRV;DTR;VR;SR
Java,2,exponential,0.3,23.4,exact_cost_aware,9.0,23.0,MRV;LOR;MCR;ROR;SD;CI;DOC;AIS;MPM
Java,2,exponential,0.3,23.4,random,10.791,23.0,Mean of 1000 random portfolios
Java,2,exponential,0.4,31.2,frequency,10.0,31.0,CI;MCR;MRV;VA;LOR;ROR;MPM;SD;DOC;AIS
Java,2,exponential,0.4,31.2,frequency_per_cost,14.0,31.0,MRV;LOR;MCR;ROR;SD;CI;DOC;AIS;MPM;DTR;VR;SR;AA;SM
Java,2,exponential,0.4,31.2,cheap_first,22.0,30.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI;MRV;DTR;VR;SR;EII;CFSM;EI;SI
Java,2,exponential,0.4,31.2,exact_cost_aware,13.0,31.0,MRV;LOR;MCR;ROR;SD;CI;DOC;AIS;MPM;DTR;VR;SR;EI
Java,2,exponential,0.4,31.2,random,14.266,31.0,Mean of 1000 random portfolios
Java,2,exponential,0.5,39.0,frequency,11.0,39.0,CI;MCR;MRV;VA;LOR;ROR;MPM;MOCS;SD;DOC;AIS
Java,2,exponential,0.5,39.0,frequency_per_cost,15.0,39.0,MRV;LOR;MCR;ROR;SD;CI;DOC;AIS;MPM;DTR;VR;SR;VA;AA;SM
Java,2,exponential,0.5,39.0,cheap_first,26.0,38.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI;MRV;DTR;VR;SR;EII;CFSM;EI;SI;BCO;FLI;WLI;CASEI
Java,2,exponential,0.5,39.0,exact_cost_aware,17.0,39.0,MRV;LOR;MCR;ROR;SD;CI;DOC;AIS;MPM;DTR;VR;SR;AA;EII;MA;EI;SM
Java,2,exponential,0.5,39.0,random,17.278,39.0,Mean of 1000 random portfolios
Java,2,steep,0.1,10.4,frequency,1.0,10.0,CI
Java,2,steep,0.1,10.4,frequency_per_cost,8.0,10.0,LOR;ROR;MRV;SD;DOC;AIS;AA;SM
Java,2,steep,0.1,10.4,cheap_first,10.0,10.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR
Java,2,steep,0.1,10.4,exact_cost_aware,3.0,10.0,ROR;MRV;MCR
Java,2,steep,0.1,10.4,random,4.596,10.0,Mean of 1000 random portfolios
Java,2,steep,0.2,20.8,frequency,4.0,20.0,CI;MCR;MRV;LOR
Java,2,steep,0.2,20.8,frequency_per_cost,11.0,20.0,LOR;ROR;MRV;MCR;SD;DOC;AIS;AA;DTR;SM;AOR
Java,2,steep,0.2,20.8,cheap_first,16.0,20.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI;MRV;DTR
Java,2,steep,0.2,20.8,exact_cost_aware,4.0,20.0,LOR;MRV;MCR;CI
Java,2,steep,0.2,20.8,random,7.682,20.0,Mean of 1000 random portfolios
Java,2,steep,0.3,31.2,frequency,6.0,31.0,CI;MCR;MRV;VA;LOR;ROR
Java,2,steep,0.3,31.2,frequency_per_cost,10.0,31.0,LOR;ROR;MRV;MCR;SD;DOC;AIS;CI;AA;MPM
Java,2,steep,0.3,31.2,cheap_first,19.0,29.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI;MRV;DTR;VR;SR;EII
Java,2,steep,0.3,31.2,exact_cost_aware,10.0,31.0,LOR;ROR;MRV;MCR;SD;DOC;AIS;CI;MPM;SM
Java,2,steep,0.3,31.2,random,11.184,31.0,Mean of 1000 random portfolios
Java,2,steep,0.4,41.6,frequency,11.0,41.0,CI;MCR;MRV;VA;LOR;ROR;MPM;SD;DOC;AIS;AA
Java,2,steep,0.4,41.6,frequency_per_cost,14.0,41.0,LOR;ROR;MRV;MCR;SD;DOC;AIS;CI;AA;MPM;DTR;VR;SM;SR
Java,2,steep,0.4,41.6,cheap_first,23.0,41.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI;MRV;DTR;VR;SR;EII;CFSM;EI;SI;BCO
Java,2,steep,0.4,41.6,exact_cost_aware,14.0,41.0,LOR;ROR;MRV;MCR;SD;DOC;AIS;CI;AA;MPM;DTR;SM;SR;EI
Java,2,steep,0.4,41.6,random,14.248,41.0,Mean of 1000 random portfolios
Java,2,steep,0.5,52.0,frequency,13.0,52.0,CI;MCR;MRV;VA;LOR;ROR;MPM;MOCS;SD;DOC;AIS;AA;SM
Java,2,steep,0.5,52.0,frequency_per_cost,16.0,52.0,LOR;ROR;MRV;MCR;SD;DOC;AIS;CI;AA;MPM;DTR;VA;VR;SM;SR;AOR
Java,2,steep,0.5,52.0,cheap_first,26.0,50.0,LOR;ROR;SD;DOC;AIS;AA;SM;AOR;DIS;BR;BWO;CN;RAR;ElseI;MRV;DTR;VR;SR;EII;CFSM;EI;SI;BCO;FLI;WLI;CASEI
Java,2,steep,0.5,52.0,exact_cost_aware,16.0,52.0,LOR;ROR;MRV;MCR;SD;DOC;AIS;CI;AA;MPM;DTR;VA;VR;SM;SR;AOR
Java,2,steep,0.5,52.0,random,17.611,51.993,Mean of 1000 random portfolios
Java,3,linear,0.1,6.2,frequency,2.0,6.0,CI;MRV
Java,3,linear,0.1,6.2,frequency_per_cost,3.0,6.0,LOR;MCR;MRV
Java,3,linear,0.1,6.2,cheap_first,6.0,6.0,LOR;ROR;DOC;SD;AIS;AA
Java,3,linear,0.1,6.2,exact_cost_aware,3.0,6.0,LOR;MCR;MRV
Java,3,linear,0.1,6.2,random,3.628,6.0,Mean of 1000 random portfolios
Java,3,linear,0.2,12.4,frequency,6.0,12.0,CI;MCR;MRV;LOR;ROR;DOC
Java,3,linear,0.2,12.4,frequency_per_cost,6.0,12.0,LOR;MCR;MRV;CI;ROR;DOC
Java,3,linear,0.2,12.4,cheap_first,12.0,12.0,LOR;ROR;DOC;SD;AIS;AA;SM;AOR;BR;DIS;BWO;CN
Java,3,linear,0.2,12.4,exact_cost_aware,6.0,12.0,LOR;MCR;MRV;CI;ROR;DOC
Java,3,linear,0.2,12.4,random,6.8,12.0,Mean of 1000 random portfolios
Java,3,linear,0.3,18.6,frequency,7.0,18.0,CI;MCR;MRV;LOR;ROR;VA;MPM
Java,3,linear,0.3,18.6,frequency_per_cost,10.0,18.0,LOR;MCR;MRV;CI;ROR;DOC;SD;AIS;MPM;AA
Java,3,linear,0.3,18.6,cheap_first,16.0,18.0,LOR;ROR;DOC;SD;AIS;AA;SM;AOR;BR;DIS;BWO;CN;RAR;ElseI;MRV;DTR
Java,3,linear,0.3,18.6,exact_cost_aware,10.0,18.0,LOR;MCR;MRV;CI;ROR;DOC;SD;AIS;MPM;SM
