language,fold,cost_scheme,budget_fraction,budget,strategy,covered,total,coverage_percent,selected_count,selected_cost,coverage_std
Java,1,steep,0.4,41.6,frequency_per_cost,77.0,121,63.63636363636363,14.0,41.0,
Java,1,steep,0.4,41.6,cheap_first,33.0,121,27.272727272727273,23.0,41.0,
Java,1,steep,0.4,41.6,exact_cost_aware,77.0,121,63.63636363636363,14.0,41.0,
Java,1,steep,0.4,41.6,random,30.101999999999997,121,24.877685950413223,14.28,41.0,10.833176238310696
Java,1,steep,0.5,52.0,frequency,81.0,121,66.94214876033058,11.0,52.0,
Java,1,steep,0.5,52.0,frequency_per_cost,83.0,121,68.59504132231405,14.0,52.0,
Java,1,steep,0.5,52.0,cheap_first,33.0,121,27.272727272727273,26.0,50.0,
Java,1,steep,0.5,52.0,exact_cost_aware,83.0,121,68.59504132231405,14.0,52.0,
Java,1,steep,0.5,52.0,random,41.015,121,33.896694214876035,17.588,51.994,12.30724032544846
Java,2,linear,0.1,6.2,frequency,17.0,124,13.709677419354838,2.0,6.0,
Java,2,linear,0.1,6.2,frequency_per_cost,28.0,124,22.580645161290324,3.0,6.0,
Java,2,linear,0.1,6.2,cheap_first,19.0,124,15.32258064516129,6.0,6.0,
Java,2,linear,0.1,6.2,exact_cost_aware,15.0,124,12.096774193548388,3.0,6.0,
Java,2,linear,0.1,6.2,random,5.402,124,4.356451612903226,3.653,6.0,4.1461989435529105
Java,2,linear,0.2,12.4,frequency,68.0,124,54.83870967741935,6.0,12.0,
Java,2,linear,0.2,12.4,frequency_per_cost,68.0,124,54.83870967741935,6.0,12.0,
Java,2,linear,0.2,12.4,cheap_first,19.0,124,15.32258064516129,12.0,12.0,
Java,2,linear,0.2,12.4,exact_cost_aware,68.0,124,54.83870967741935,6.0,12.0,
Java,2,linear,0.2,12.4,random,11.978,124,9.65967741935484,6.793,12.0,6.73158601329707
Java,2,linear,0.3,18.6,frequency,76.0,124,61.29032258064516,7.0,18.0,
Java,2,linear,0.3,18.6,frequency_per_cost,80.0,124,64.51612903225806,9.0,18.0,
Java,2,linear,0.3,18.6,cheap_first,21.0,124,16.93548387096774,16.0,18.0,
Java,2,linear,0.3,18.6,exact_cost_aware,80.0,124,64.51612903225806,10.0,18.0,
Java,2,linear,0.3,18.6,random,19.928,124,16.070967741935483,9.907,18.0,9.432575427867375
Java,2,linear,0.4,24.8,frequency,89.0,124,71.7741935483871,10.0,24.0,
Java,2,linear,0.4,24.8,frequency_per_cost,87.0,124,70.16129032258064,12.0,24.0,
Java,2,linear,0.4,24.8,cheap_first,27.0,124,21.774193548387096,19.0,24.0,
Java,2,linear,0.4,24.8,exact_cost_aware,87.0,124,70.16129032258064,12.0,24.0,
Java,2,linear,0.4,24.8,random,28.755999999999993,124,23.19032258064516,13.098,24.0,11.775233649974275
