language,cost_scheme,budget_fraction,strategy,covered,total,mean_selected_count,mean_selected_cost,coverage_percent
JavaScript,exponential,0.2,cheap_first,30.0,128,14.0,14.0,23.4375
JavaScript,exponential,0.2,exact_cost_aware,44.0,128,9.2,15.0,34.375
JavaScript,exponential,0.2,frequency,37.0,128,4.0,15.0,28.90625
JavaScript,exponential,0.2,frequency_per_cost,43.0,128,9.6,15.0,33.59375
JavaScript,exponential,0.2,random,17.840999999999998,128,7.4828,15.0,13.938281249999998
JavaScript,exponential,0.3,cheap_first,43.0,128,18.0,22.0,33.59375
JavaScript,exponential,0.3,exact_cost_aware,49.0,128,10.6,23.0,38.28125
JavaScript,exponential,0.3,frequency,39.0,128,5.0,23.0,30.46875
JavaScript,exponential,0.3,frequency_per_cost,61.0,128,10.6,23.0,47.65625
JavaScript,exponential,0.3,random,28.019,128,10.7014,23.0,21.889843749999997
JavaScript,exponential,0.4,cheap_first,43.0,128,22.0,30.0,33.59375
JavaScript,exponential,0.4,exact_cost_aware,54.0,128,11.6,31.0,42.1875
JavaScript,exponential,0.4,frequency,66.0,128,9.2,31.0,51.5625
JavaScript,exponential,0.4,frequency_per_cost,63.0,128,11.6,31.0,49.21875
JavaScript,exponential,0.4,random,39.254999999999995,128,14.0756,30.9998,30.667968749999996
JavaScript,exponential,0.5,cheap_first,45.0,128,26.0,38.0,35.15625
JavaScript,exponential,0.5,exact_cost_aware,77.0,128,13.8,38.2,60.15625
JavaScript,exponential,0.5,frequency,89.0,128,10.2,39.0,69.53125
JavaScript,exponential,0.5,frequency_per_cost,83.0,128,15.8,39.0,64.84375
JavaScript,exponential,0.5,random,50.94200000000001,128,17.389400000000002,38.9994,39.798437500000006
JavaScript,linear,0.1,cheap_first,18.0,128,6.0,6.0,14.0625
JavaScript,linear,0.1,exact_cost_aware,12.000000000000002,128,3.4,6.0,9.375000000000002
JavaScript,linear,0.1,frequency,20.0,128,2.2,6.0,15.625
JavaScript,linear,0.1,frequency_per_cost,19.0,128,3.0,6.0,14.84375
JavaScript,linear,0.1,random,8.338,128,3.6696,6.0,6.5140625
JavaScript,linear,0.2,cheap_first,29.0,128,12.0,12.0,22.65625
JavaScript,linear,0.2,exact_cost_aware,37.0,128,5.4,12.0,28.90625
JavaScript,linear,0.2,frequency,27.0,128,4.6,12.0,21.09375
JavaScript,linear,0.2,frequency_per_cost,41.0,128,5.2,12.0,32.03125
JavaScript,linear,0.2,random,17.587999999999997,128,6.7934,12.0,13.740624999999998
JavaScript,linear,0.3,cheap_first,42.0,128,16.0,18.0,32.8125
JavaScript,linear,0.3,exact_cost_aware,50.0,128,7.8,18.0,39.0625
JavaScript,linear,0.3,frequency,50.0,128,7.8,18.0,39.0625
JavaScript,linear,0.3,frequency_per_cost,50.0,128,7.8,18.0,39.0625
JavaScript,linear,0.3,random,26.104,128,9.953199999999999,18.0,20.39375
JavaScript,linear,0.4,cheap_first,43.0,128,19.0,24.0,33.59375
JavaScript,linear,0.4,exact_cost_aware,76.0,128,12.0,24.0,59.375
JavaScript,linear,0.4,frequency,76.0,128,9.8,24.0,59.375
JavaScript,linear,0.4,frequency_per_cost,68.0,128,12.2,24.0,53.125
JavaScript,linear,0.4,random,37.245,128,13.115199999999998,24.0,29.097656249999996
JavaScript,linear,0.5,cheap_first,43.0,128,22.0,30.0,33.59375
JavaScript,linear,0.5,exact_cost_aware,103.0,128,14.0,30.6,80.46875
JavaScript,linear,0.5,frequency,106.0,128,14.4,31.0,82.8125
JavaScript,linear,0.5,frequency_per_cost,106.0,128,14.4,31.0,82.8125
JavaScript,linear,0.5,random,49.968,128,16.8738,31.0,39.0375
JavaScript,steep,0.1,cheap_first,23.0,128,10.0,10.0,17.96875
JavaScript,steep,0.1,exact_cost_aware,27.0,128,8.0,10.0,21.09375
JavaScript,steep,0.1,frequency,6.0,128,1.4,10.0,4.6875
JavaScript,steep,0.1,frequency_per_cost,26.0,128,6.4,10.0,20.3125
JavaScript,steep,0.1,random,10.015999999999998,128,4.6008000000000004,10.0,7.824999999999998
JavaScript,steep,0.2,cheap_first,42.0,128,16.0,20.0,32.8125
JavaScript,steep,0.2,exact_cost_aware,45.0,128,10.4,20.0,35.15625
JavaScript,steep,0.2,frequency,16.0,128,3.6,20.0,12.5
JavaScript,steep,0.2,frequency_per_cost,45.0,128,11.0,20.0,35.15625
JavaScript,steep,0.2,random,18.817,128,7.840000000000001,20.0,14.70078125
JavaScript,steep,0.3,cheap_first,43.0,128,19.0,29.0,33.59375
JavaScript,steep,0.3,exact_cost_aware,52.0,128,12.4,31.0,40.625
JavaScript,steep,0.3,frequency,44.0,128,6.0,31.0,34.375
JavaScript,steep,0.3,frequency_per_cost,68.0,128,13.0,31.0,53.125
JavaScript,steep,0.3,random,28.654999999999994,128,11.209,31.0,22.386718749999996
JavaScript,steep,0.4,cheap_first,44.0,128,23.0,41.0,34.375
JavaScript,steep,0.4,exact_cost_aware,64.0,128,13.4,41.0,50.0
JavaScript,steep,0.4,frequency,68.0,128,9.4,41.0,53.125
JavaScript,steep,0.4,frequency_per_cost,78.0,128,14.8,41.0,60.9375
JavaScript,steep,0.4,random,38.443,128,14.2678,41.0,30.033593749999998
JavaScript,steep,0.5,cheap_first,45.0,128,26.0,50.0,35.15625
JavaScript,steep,0.5,exact_cost_aware,78.0,128,14.6,50.6,60.9375
JavaScript,steep,0.5,frequency,91.0,128,11.4,52.0,71.09375
JavaScript,steep,0.5,frequency_per_cost,86.0,128,16.0,52.0,67.1875
JavaScript,steep,0.5,random,51.747,128,17.6092,51.9954,40.42734375
Python,exponential,0.1,cheap_first,3.0,178,7.0,7.0,1.6853932584269662
Python,exponential,0.1,exact_cost_aware,53.0,178,3.0,7.0,29.775280898876403
Python,exponential,0.1,frequency,53.0,178,3.0,7.0,29.775280898876403
Python,exponential,0.1,frequency_per_cost,53.0,178,3.0,7.0,29.775280898876403
Python,exponential,0.1,random,8.603,178,4.3924,7.0,4.83314606741573
Python,exponential,0.2,cheap_first,4.0,178,14.0,14.0,2.247191011235955
Python,exponential,0.2,exact_cost_aware,76.0,178,4.8,15.0,42.69662921348315
Python,exponential,0.2,frequency,85.0,178,4.0,15.0,47.752808988764045
Python,exponential,0.2,frequency_per_cost,78.0,178,8.0,15.0,43.82022471910113
Python,exponential,0.2,random,20.205000000000002,178,7.4754000000000005,15.0,11.35112359550562
Python,exponential,0.3,cheap_first,35.0,178,18.0,22.0,19.662921348314608
Python,exponential,0.3,exact_cost_aware,122.0,178,9.0,23.0,68.53932584269663
Python,exponential,0.3,frequency,109.0,178,5.0,23.0,61.235955056179776
Python,exponential,0.3,frequency_per_cost,123.0,178,9.0,23.0,69.10112359550561
Python,exponential,0.3,random,34.382,178,10.767199999999999,23.0,19.31573033707865
Python,exponential,0.4,cheap_first,43.0,178,22.0,30.0,24.15730337078652
Python,exponential,0.4,exact_cost_aware,151.0,178,10.0,31.0,84.8314606741573
Python,exponential,0.4,frequency,138.0,178,8.8,31.0,77.52808988764045
Python,exponential,0.4,frequency_per_cost,151.0,178,10.0,31.0,84.8314606741573
Python,exponential,0.4,random,49.197,178,14.0898,31.0,27.638764044943823
Python,exponential,0.5,cheap_first,43.0,178,26.0,38.0,24.15730337078652
Python,exponential,0.5,exact_cost_aware,159.0,178,14.4,38.8,89.32584269662921
Python,exponential,0.5,frequency,164.0,178,13.0,39.0,92.13483146067416
Python,exponential,0.5,frequency_per_cost,161.0,178,13.8,39.0,90.4494382022472
Python,exponential,0.5,random,67.214,178,17.308600000000002,38.999,37.76067415730337
Python,linear,0.1,cheap_first,2.0,178,6.0,6.0,1.1235955056179776
Python,linear,0.1,exact_cost_aware,53.0,178,3.0,6.0,29.775280898876403
Python,linear,0.1,frequency,53.0,178,3.0,6.0,29.775280898876403
Python,linear,0.1,frequency_per_cost,53.0,178,3.0,6.0,29.775280898876403
Python,linear,0.1,random,8.872,178,3.6518,6.0,4.984269662921348
Python,linear,0.2,cheap_first,3.0,178,12.0,12.0,1.6853932584269662
Python,linear,0.2,exact_cost_aware,103.0,178,5.0,12.0,57.86516853932584
Python,linear,0.2,frequency,93.0,178,4.8,12.0,52.247191011235955
Python,linear,0.2,frequency_per_cost,103.0,178,5.0,12.0,57.86516853932584
Python,linear,0.2,random,19.655,178,6.8402,12.0,11.042134831460674
Python,linear,0.3,cheap_first,30.000000000000004,178,16.0,18.0,16.853932584269664
Python,linear,0.3,exact_cost_aware,137.0,178,7.6,18.0,76.96629213483146
Python,linear,0.3,frequency,135.0,178,7.2,18.0,75.84269662921348
Python,linear,0.3,frequency_per_cost,137.0,178,7.6,18.0,76.96629213483146
Python,linear,0.3,random,33.12,178,9.979,18.0,18.606741573033705
Python,linear,0.4,cheap_first,36.0,178,19.0,24.0,20.224719101123597
Python,linear,0.4,exact_cost_aware,152.0,178,10.8,24.0,85.3932584269663
Python,linear,0.4,frequency,152.0,178,10.2,24.0,85.3932584269663
Python,linear,0.4,frequency_per_cost,150.0,178,11.0,24.0,84.26966292134831
Python,linear,0.4,random,47.2,178,13.142199999999999,24.0,26.51685393258427
Python,linear,0.5,cheap_first,43.0,178,22.0,30.0,24.15730337078652
Python,linear,0.5,exact_cost_aware,164.0,178,15.2,31.0,92.13483146067416
Python,linear,0.5,frequency,158.0,178,14.0,31.0,88.76404494382022
Python,linear,0.5,frequency_per_cost,165.0,178,15.2,31.0,92.69662921348315
Python,linear,0.5,random,65.95700000000001,178,16.849200000000003,30.9998,37.054494382022476
Python,steep,0.1,cheap_first,3.0,178,10.0,10.0,1.6853932584269662
Python,steep,0.1,exact_cost_aware,53.0,178,3.0,10.0,29.775280898876403
Python,steep,0.1,frequency,53.0,178,3.0,10.0,29.775280898876403
Python,steep,0.1,frequency_per_cost,53.0,178,3.0,10.0,29.775280898876403
Python,steep,0.1,random,9.177,178,4.6334,10.0,5.15561797752809
Python,steep,0.2,cheap_first,30.000000000000004,178,16.0,20.0,16.853932584269664
Python,steep,0.2,exact_cost_aware,76.0,178,5.0,20.0,42.69662921348315
Python,steep,0.2,frequency,85.0,178,4.0,20.0,47.752808988764045
Python,steep,0.2,frequency_per_cost,78.0,178,8.6,20.0,43.82022471910113
Python,steep,0.2,random,20.232,178,7.7674,20.0,11.36629213483146
Python,steep,0.3,cheap_first,36.0,178,19.0,29.0,20.224719101123597
Python,steep,0.3,exact_cost_aware,117.0,178,8.8,31.0,65.73033707865169
Python,steep,0.3,frequency,121.0,178,6.0,31.0,67.97752808988764
Python,steep,0.3,frequency_per_cost,123.0,178,9.8,31.0,69.10112359550561
Python,steep,0.3,random,34.631,178,11.206999999999999,31.0,19.45561797752809
Python,steep,0.4,cheap_first,43.0,178,23.0,41.0,24.15730337078652
Python,steep,0.4,exact_cost_aware,151.0,178,10.4,41.0,84.8314606741573
Python,steep,0.4,frequency,151.0,178,10.0,41.0,84.8314606741573
Python,steep,0.4,frequency_per_cost,151.0,178,10.8,41.0,84.8314606741573
Python,steep,0.4,random,48.367,178,14.2854,41.0,27.172471910112357
Python,steep,0.5,cheap_first,43.0,178,26.0,50.0,24.15730337078652
Python,steep,0.5,exact_cost_aware,157.0,178,14.4,51.6,88.20224719101124
Python,steep,0.5,frequency,160.0,178,12.8,52.0,89.88764044943821
Python,steep,0.5,frequency_per_cost,157.0,178,15.6,52.0,88.20224719101124
Python,steep,0.5,random,66.23299999999999,178,17.703,51.9938,37.20955056179775
